# QBD Vacuum Parameter Sweep Results (2-Parameter Model)
# Timestamp: 20251114-083509
# Anchored ALPHA: 0.17 MeV
# Anchored T_VACUUM: 0.693 MeV
# Nodes (approx): 100
# Runs per point: 100
# Max Steps: 1500

mu,lambda,Runs_Success,Stall_Rate_pct,Mean_N3,Std_Dev_N3,Median_N3,Mean_Rho3,Std_Dev_Rho3,Median_Rho3,Skew_Rho3
  0.40   2.60      0.0139   <-- VIABLE
  0.40   2.90      0.0277   <-- VIABLE
  0.40   3.20      0.0150   <-- VIABLE
  0.40   3.50      0.0205   <-- VIABLE
  0.40   3.80      0.0177   <-- VIABLE
  0.40   4.10      0.0127   <-- VIABLE
  0.45   0.80      0.2075  (Saturated)
  0.45   1.10      0.1100  (Saturated)
  0.45   1.40      0.0878   <-- VIABLE
  0.45   1.70      0.0484   <-- VIABLE
  0.45   2.00      0.0378   <-- VIABLE
  0.45   2.30      0.0345   <-- VIABLE
  0.45   2.60      0.0532   <-- VIABLE
  0.45   2.90      0.0350   <-- VIABLE
  0.45   3.20      0.0304   <-- VIABLE
  0.45   3.50      0.0440   <-- VIABLE
  0.45   3.80      0.0337   <-- VIABLE
  0.45   4.10      0.0327   <-- VIABLE
  0.50   0.80      0.4914  (Saturated)
  0.50   1.10      0.2521  (Saturated)
  0.50   1.40      0.1596  (Saturated)
  0.50   1.70      0.0951   <-- VIABLE
  0.50   2.00      0.0917   <-- VIABLE
  0.50   2.30      0.0687   <-- VIABLE
  0.50   2.60      0.0690   <-- VIABLE
  0.50   2.90      0.0699   <-- VIABLE
  0.50   3.20      0.0569   <-- VIABLE
  0.50   3.50      0.0550   <-- VIABLE
  0.50   3.80      0.0738   <-- VIABLE
  0.50   4.10      0.0637   <-- VIABLE
  0.55   0.80      0.7810  (Saturated)
  0.55   1.10      0.5487  (Saturated)
  0.55   1.40      0.3594  (Saturated)
  0.55   1.70      0.2096  (Saturated)
  0.55   2.00      0.2286  (Saturated)
  0.55   2.30      0.1036  (Saturated)
  0.55   2.60      0.0877   <-- VIABLE
  0.55   2.90      0.1034  (Saturated)
  0.55   3.20      0.1067  (Saturated)
  0.55   3.50      0.0867   <-- VIABLE
  0.55   3.80      0.0840   <-- VIABLE
  0.55   4.10      0.0890   <-- VIABLE
  0.60   0.80      0.8350  (Saturated)
  0.60   1.10      0.7654  (Saturated)
  0.60   1.40      0.6798  (Saturated)
  0.60   1.70      0.6015  (Saturated)
  0.60   2.00      0.3936  (Saturated)
  0.60   2.30      0.3933  (Saturated)
  0.60   2.60      0.2672  (Saturated)
  0.60   2.90      0.2464  (Saturated)
  0.60   3.20      0.1960  (Saturated)
  0.60   3.50      0.1432  (Saturated)
  0.60   3.80      0.1495  (Saturated)
  0.60   4.10      0.1516  (Saturated)
  0.65   0.80      0.8763  (Saturated)
  0.65   1.10      0.8556  (Saturated)
  0.65   1.40      0.8283  (Saturated)
  0.65   1.70      0.7873  (Saturated)
  0.65   2.00      0.7237  (Saturated)
  0.65   2.30      0.7087  (Saturated)
  0.65   2.60      0.5851  (Saturated)
  0.65   2.90      0.4628 
